gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000010282,0.23,0.08,0.0,1.13,2.1,4.45,0.42,21.96,101.82
ENSG00000010292,75.15,87.35,85.72,59.52,34.53,28.5,49.71,25.88,20.81
ENSG00000010295,7.98,8.31,8.46,12.65,12.56,12.13,9.02,12.88,18.62
ENSG00000010310,0.45,1.55,6.42,11.39,9.85,7.46,2.01,1.1,1.36
ENSG00000010318,7.23,11.17,18.33,10.9,9.4,12.34,11.81,9.1,10.3
ENSG00000010319,2.03,5.46,12.47,1.23,1.54,4.08,0.91,1.77,0.31
ENSG00000010322,36.09,62.09,72.18,78.87,84.63,68.63,37.96,66.56,63.58
ENSG00000010327,0.64,0.42,0.35,1.14,2.02,3.25,0.27,0.42,0.57
ENSG00000010361,12.91,23.65,22.74,14.69,15.72,12.88,14.24,19.45,18.05
ENSG00000010379,0.3,0.18,1.4,1.59,4.14,2.99,3.85,0.66,1.51
ENSG00000010404,10.94,22.66,46.86,40.08,22.0,26.01,33.29,34.32,36.34
ENSG00000010438,0.49,0.0,0.0,0.0,2.41,0.44,0.0,0.19,0.0
ENSG00000010539,11.79,18.58,8.83,10.2,8.48,8.14,8.01,6.68,6.47
ENSG00000010610,2.59,1.07,3.13,4.84,17.53,37.68,3.47,19.11,10.22
ENSG00000010626,0.59,4.93,5.86,7.44,11.91,11.33,8.23,11.12,8.37
ENSG00000010671,0.83,1.82,1.61,1.37,0.2,0.32,2.67,0.23,0.54
ENSG00000010704,0.4,0.43,1.43,1.15,3.54,4.06,1.64,3.69,4.57
ENSG00000010803,18.96,18.05,46.5,66.68,53.74,47.53,65.95,45.41,38.65
ENSG00000010810,51.1,43.92,78.24,107.83,58.68,62.27,35.28,88.18,84.59
ENSG00000010818,2.62,1.46,1.27,5.71,3.69,6.48,7.46,10.99,11.47
ENSG00000010932,0.04,0.13,0.55,0.95,12.49,10.57,0.54,0.29,1.72
ENSG00000011007,63.2,58.16,34.69,42.03,31.99,30.66,48.18,41.55,42.56
ENSG00000011009,116.62,106.68,83.51,78.21,59.49,59.14,52.11,42.08,35.43
ENSG00000011021,17.14,15.2,12.19,20.82,16.8,17.28,23.75,18.32,16.68
ENSG00000011028,8.14,58.45,166.33,107.37,279.49,163.62,51.45,167.89,161.41
ENSG00000011052,5.73,8.51,17.89,10.98,7.2,8.89,11.63,5.36,2.09
ENSG00000011083,0.04,0.02,0.0,0.0,0.03,0.03,0.05,0.0,0.0
ENSG00000011105,15.55,24.69,34.4,35.18,66.29,101.71,92.26,130.01,110.2
ENSG00000011114,25.8,20.46,27.31,31.37,21.23,21.67,24.6,29.11,29.49
ENSG00000011132,10.6,8.47,14.36,12.27,14.52,8.67,5.6,11.43,10.91
ENSG00000011143,16.63,14.81,24.04,19.74,17.47,15.71,11.71,14.84,12.94
ENSG00000011198,16.11,15.08,12.98,13.05,12.38,8.97,16.15,14.86,16.49
ENSG00000011201,34.96,25.84,2.93,6.39,4.5,5.72,16.02,30.86,23.72
ENSG00000011243,69.59,74.07,128.36,82.66,91.56,86.61,46.4,79.67,80.73
ENSG00000011258,34.47,24.34,24.48,24.82,18.03,19.36,9.23,13.03,11.6
ENSG00000011260,100.97,74.84,45.66,40.41,16.37,12.48,19.35,11.36,11.54
ENSG00000011275,17.08,17.63,19.61,25.5,25.43,22.73,22.6,28.05,28.27
ENSG00000011295,46.37,40.88,37.15,28.42,23.61,25.0,23.26,23.11,17.81
ENSG00000011304,521.92,475.86,441.27,300.98,201.25,147.68,135.37,105.65,106.38
ENSG00000011332,9.25,5.61,7.1,6.63,3.42,3.4,6.58,2.28,2.47
ENSG00000011347,4.48,4.21,7.6,6.5,4.8,3.79,1.73,0.53,0.58
ENSG00000011376,46.53,29.66,29.71,25.44,23.65,17.92,29.89,18.52,15.43
ENSG00000011405,82.67,52.8,38.54,50.37,24.8,21.27,33.0,21.15,24.48
ENSG00000011422,6.82,6.79,3.05,2.09,2.54,6.18,26.31,16.71,10.34
ENSG00000011426,65.17,78.44,73.79,82.24,30.21,27.46,161.89,59.33,27.58
ENSG00000011451,24.17,24.84,28.87,31.36,28.06,28.2,28.23,35.93,35.49
ENSG00000011454,21.25,24.71,26.68,38.03,43.8,44.83,45.7,47.72,44.59
ENSG00000011465,1.12,1.42,1.54,10.23,1580.63,919.21,212.9,1764.91,3153.54
ENSG00000011478,13.15,15.53,7.72,8.57,7.85,6.13,7.11,6.93,5.91
ENSG00000011485,111.6,113.23,99.12,90.32,69.36,73.43,93.2,69.36,67.07
ENSG00000011523,9.76,9.72,10.14,9.71,6.8,8.36,6.39,9.36,9.72
ENSG00000011566,41.97,21.61,26.72,30.04,43.34,30.79,29.09,27.36,26.05
