gene_id,d0,d2,d4,d10,d15,d20,d40,d60
ENSG00000012232,14.35,36.28,31.2,89.49,30.34,28.05,37.98,39.91
ENSG00000012504,0.0,0.0,0.0,0.15,10.29,21.99,3.1,0.56
ENSG00000012660,100.58,103.61,110.75,45.23,60.38,53.88,40.24,43.57
ENSG00000012779,0.47,0.18,1.13,0.15,0.66,0.19,0.2,0.19
ENSG00000012817,0.07,0.01,0.08,0.01,0.0,0.15,0.0,0.04
ENSG00000012822,4.77,15.3,29.2,88.02,97.46,67.59,97.89,114.34
ENSG00000012963,29.5,37.53,36.95,16.86,20.78,21.92,25.11,41.06
ENSG00000012983,26.06,26.31,27.46,29.31,27.95,32.43,27.37,27.8
ENSG00000013016,4.53,10.09,15.5,11.62,13.6,43.24,37.68,44.99
ENSG00000013275,76.11,125.52,103.53,66.41,57.5,74.0,41.78,54.08
ENSG00000013288,1.15,2.23,6.16,5.08,9.47,11.73,10.14,13.32
ENSG00000013293,0.12,2.7,0.55,0.02,0.12,0.01,0.01,0.01
ENSG00000013297,3.64,29.92,11.46,0.82,6.04,3.39,1.56,0.57
ENSG00000013306,35.88,132.87,101.1,111.39,71.92,69.3,55.44,70.01
ENSG00000013364,0.88,0.75,1.33,10.91,19.05,38.87,25.99,33.98
ENSG00000013374,101.91,62.99,87.7,53.26,50.73,54.25,51.85,65.2
ENSG00000013375,16.66,48.0,46.44,37.99,52.65,73.61,40.52,37.43
ENSG00000013392,2.16,2.79,4.7,7.24,5.98,8.9,6.81,7.69
ENSG00000013441,11.83,14.99,44.05,26.12,32.87,16.64,35.36,39.29
ENSG00000013503,17.22,17.92,18.0,10.52,6.78,5.54,6.05,12.11
